Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region
1/4/2015,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,conventional,2015,Albany
1/4/2015,1.79,1373.95,57.42,153.88,0,1162.65,1162.65,0,0,organic,2015,Albany
1/11/2015,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,conventional,2015,Albany
1/11/2015,1.77,1182.56,39,305.12,0,838.44,838.44,0,0,organic,2015,Albany
1/18/2015,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,conventional,2015,Albany
1/18/2015,1.93,1118.47,8.02,178.78,0,931.67,931.67,0,0,organic,2015,Albany
1/25/2015,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,conventional,2015,Albany
1/25/2015,1.89,1115.89,14.87,148.72,0,952.3,952.3,0,0,organic,2015,Albany
2/1/2015,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,conventional,2015,Albany
2/1/2015,1.83,1228.51,33.12,99.36,0,1096.03,1096.03,0,0,organic,2015,Albany
2/8/2015,0.99,51253.97,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0,conventional,2015,Albany
2/8/2015,1.59,1770.87,27.36,152.74,0,1590.77,1590.77,0,0,organic,2015,Albany
2/15/2015,1.06,41567.62,986.66,30045.51,222.42,10313.03,9979.87,333.16,0,conventional,2015,Albany
2/15/2015,1.81,1182.3,22.74,83.02,0,1076.54,1076.54,0,0,organic,2015,Albany
2/22/2015,1.07,45675.05,1088.38,35056.13,151,9379.54,9000.16,379.38,0,conventional,2015,Albany
2/22/2015,1.82,1152.33,11.34,31.76,0,1109.23,1109.23,0,0,organic,2015,Albany
3/1/2015,0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.06,165.39,0,conventional,2015,Albany
3/1/2015,1.76,1663.35,32.82,105.25,0,1525.28,1525.28,0,0,organic,2015,Albany
